Year,Province,Division,District,Admin_Type,Urban_Rural,Dominant_Sector,Population,Population_Density,Area_km2,Literacy_Rate,Male_Literacy,Female_Literacy,GDP_Per_Capita,Poverty_Rate,Unemployment_Rate,Num_Schools,Num_Hospitals,Electricity_Access,Water_Access,Road_Network_km,Annual_Rainfall_mm,Avg_Temperature_C,Crime_Rate_per100k,Health_Expenditure_PKR,Education_Expenditure_PKR,Agriculture_Share_pct,Infant_Mortality_per1000,Life_Expectancy
2022,Azad Kashmir,Azad Kashmir,Kotli,District,Rural,Agriculture,1087867,466.92,2329.9,75.01,86.59,67.37,46525.0,21.95,9.25,274,26,78.77,79.16,1867,606.6,24.0,25.92,2211.0,1622.0,33.31,32.73,69.06
2023,Azad Kashmir,Azad Kashmir,Kotli,District,Rural,Manufacturing,1000902,223.24,4483.5,72.97,84.04,61.57,46776.0,26.94,10.13,272,16,77.0,70.87,4345,1315.0,30.5,10.85,1602.0,1888.0,30.07,37.09,67.66
2024,Azad Kashmir,Azad Kashmir,Kotli,District,Rural,Manufacturing,1040189,166.6,6243.6,76.75,84.16,66.96,55042.0,18.39,11.44,291,13,73.2,66.79,4025,785.7,21.8,19.71,1353.0,2122.0,16.23,38.31,70.16
2015,Azad Kashmir,Azad Kashmir,Mirpur,District,Rural,Services,645053,667.07,967.0,65.11,71.88,51.48,36964.0,23.69,11.52,143,10,70.15,74.27,945,519.5,30.3,28.07,1686.0,2519.0,52.42,43.51,72.24
2016,Azad Kashmir,Azad Kashmir,Mirpur,District,Urban,Construction,658260,143.22,4596.0,79.05,85.1,63.87,46890.0,24.43,9.56,172,12,74.44,75.91,5182,529.0,22.7,19.79,2317.0,2409.0,17.43,26.8,65.71
2017,Azad Kashmir,Azad Kashmir,Mirpur,District,Urban,Services,687893,125.7,5472.5,70.37,75.75,58.55,43278.0,25.14,14.59,305,10,76.34,63.45,5345,760.2,22.6,6.91,1946.0,1735.0,49.58,41.21,62.89
2018,Azad Kashmir,Azad Kashmir,Mirpur,District,Urban,Manufacturing,668649,147.1,4545.6,68.73,72.73,49.49,25558.0,24.29,13.25,133,10,71.61,74.05,2339,1151.8,28.6,23.53,874.0,884.0,10.92,41.51,63.08
2019,Azad Kashmir,Azad Kashmir,Mirpur,District,Rural,Mining,736483,304.1,2421.8,73.83,81.61,64.16,41573.0,20.48,13.91,237,9,80.9,77.12,2202,1277.8,20.3,25.54,2026.0,1907.0,51.8,25.58,67.52
2020,Azad Kashmir,Azad Kashmir,Mirpur,District,Urban,Construction,740112,130.31,5679.6,71.78,81.6,52.02,29110.0,17.43,8.28,190,16,76.19,78.02,5085,1100.4,19.7,34.58,642.0,1627.0,25.62,35.26,65.9
2021,Azad Kashmir,Azad Kashmir,Mirpur,District,Rural,Mining,686024,164.26,4176.5,83.23,91.73,70.4,42472.0,20.01,6.16,207,11,88.28,79.94,4164,653.0,20.5,24.05,1442.0,2677.0,37.72,40.67,72.03
2022,Azad Kashmir,Azad Kashmir,Mirpur,District,Rural,Construction,765780,327.09,2341.2,71.15,78.09,61.1,40092.0,19.31,9.41,159,13,70.79,75.48,1149,1069.8,27.4,36.52,1761.0,1749.0,24.63,37.22,64.48
2023,Azad Kashmir,Azad Kashmir,Mirpur,District,Rural,Healthcare,829965,322.69,2572.0,73.94,82.4,58.58,55885.0,18.04,12.87,408,8,67.83,77.25,811,988.6,28.6,8.98,1611.0,2581.0,32.09,33.44,67.44
2024,Azad Kashmir,Azad Kashmir,Mirpur,District,Rural,Services,744657,227.89,3267.7,75.89,80.2,66.29,56085.0,31.45,10.22,203,12,83.25,75.52,1331,851.8,24.4,26.92,2023.0,3392.0,42.46,33.45,67.89
2015,Azad Kashmir,Azad Kashmir,Muzaffarabad,District,Semi-Urban,Services,412464,69.5,5934.4,72.57,74.71,64.88,37520.0,26.36,12.92,83,5,69.56,63.69,2023,694.1,21.2,11.07,812.0,1564.0,34.04,47.12,62.87
2016,Azad Kashmir,Azad Kashmir,Muzaffarabad,District,Urban,Agriculture,426323,69.37,6145.9,74.6,85.21,65.81,43457.0,22.27,8.57,184,10,71.4,72.98,4060,840.7,31.5,21.82,966.0,2398.0,15.13,39.67,66.45
2017,Azad Kashmir,Azad Kashmir,Muzaffarabad,District,Rural,Construction,421871,89.35,4721.3,69.85,77.08,61.47,29000.0,28.47,10.73,144,4,64.64,74.66,2679,1106.3,29.1,16.52,1092.0,1367.0,30.27,42.59,66.57
2018,Azad Kashmir,Azad Kashmir,Muzaffarabad,District,Rural,Education,443159,57.55,7700.8,70.05,73.62,56.77,26915.0,28.48,11.1,192,5,72.43,64.84,6425,581.2,21.4,16.3,773.0,1057.0,28.38,29.03,63.57
2019,Azad Kashmir,Azad Kashmir,Muzaffarabad,District,Urban,Services,460052,117.8,3905.2,76.34,83.78,64.96,49715.0,21.02,8.93,113,4,80.52,77.39,4076,1161.2,31.1,28.26,1101.0,1821.0,39.14,38.33,69.53
2020,Azad Kashmir,Azad Kashmir,Muzaffarabad,District,Urban,Construction,450260,94.41,4769.1,74.06,76.87,61.65,52826.0,26.69,8.55,157,9,76.98,76.95,4583,1442.7,25.0,27.97,2013.0,1639.0,11.79,34.37,68.93
2021,Azad Kashmir,Azad Kashmir,Muzaffarabad,District,Urban,Services,452937,65.13,6953.9,76.02,83.21,68.39,51701.0,21.47,9.59,120,10,79.89,81.05,3222,1076.2,28.7,24.35,1942.0,2864.0,29.9,30.3,71.99
2022,Azad Kashmir,Azad Kashmir,Muzaffarabad,District,Rural,Construction,481298,154.77,3109.7,80.82,90.96,61.65,31453.0,14.8,10.46,160,6,85.61,75.3,1179,1193.7,22.0,23.01,867.0,1089.0,34.75,28.01,69.23
2023,Azad Kashmir,Azad Kashmir,Muzaffarabad,District,Rural,Services,519718,77.72,6687.0,80.08,86.5,67.6,62190.0,19.37,7.34,259,5,79.0,69.15,5311,1018.4,26.7,15.4,2975.0,2956.0,12.32,34.02,67.9
2024,Azad Kashmir,Azad Kashmir,Muzaffarabad,District,Semi-Urban,Agriculture,526327,67.49,7798.6,73.43,84.56,53.55,34565.0,24.1,10.77,137,9,68.47,73.44,6885,1052.3,19.3,27.61,851.0,2326.0,30.77,41.71,66.08
2015,Azad Kashmir,Azad Kashmir,Neelum,District,Urban,Healthcare,520509,126.38,4118.7,68.41,71.11,61.36,35431.0,24.94,10.78,152,7,63.74,61.96,2773,1099.4,28.4,34.44,1702.0,1783.0,44.77,43.24,65.2
2016,Azad Kashmir,Azad Kashmir,Neelum,District,Rural,Services,536391,195.82,2739.2,70.89,78.32,57.61,32340.0,24.54,8.55,142,5,71.14,63.23,2965,1038.6,22.8,21.26,1598.0,1279.0,30.49,43.82,67.81
2017,Azad Kashmir,Azad Kashmir,Neelum,District,Urban,Manufacturing,541085,151.11,3580.8,72.26,75.78,57.48,51796.0,25.48,11.15,183,7,78.73,69.04,2692,1488.4,29.1,17.89,1953.0,3356.0,53.42,37.77,66.7
2018,Azad Kashmir,Azad Kashmir,Neelum,District,Rural,Education,571852,128.66,4444.6,75.57,80.95,56.03,39541.0,22.43,13.99,169,6,74.16,77.33,1654,654.4,24.6,23.02,1181.0,2253.0,41.17,32.5,71.39
2019,Azad Kashmir,Azad Kashmir,Neelum,District,Rural,Agriculture,570832,109.75,5201.0,77.96,82.24,68.65,58308.0,21.75,13.58,122,8,78.28,78.62,5119,734.8,27.6,12.35,2397.0,1984.0,14.07,29.02,67.19
2020,Azad Kashmir,Azad Kashmir,Neelum,District,Urban,Mining,558417,778.71,717.1,79.16,82.96,63.94,36985.0,13.18,5.26,187,12,76.62,75.9,777,744.2,23.8,21.23,1427.0,1466.0,17.88,35.36,70.69
2021,Azad Kashmir,Azad Kashmir,Neelum,District,Semi-Urban,Mining,631797,159.6,3958.6,67.8,74.22,60.43,32419.0,33.43,12.58,228,11,61.16,73.72,2253,1401.2,27.5,19.13,1584.0,1868.0,25.55,30.76,68.05
2022,Azad Kashmir,Azad Kashmir,Neelum,District,Semi-Urban,Agriculture,603755,75.51,7995.3,76.18,86.48,70.85,39337.0,23.03,4.48,132,13,74.28,71.93,6470,795.9,27.8,12.32,1596.0,2352.0,27.81,33.75,67.74
2023,Azad Kashmir,Azad Kashmir,Neelum,District,Semi-Urban,Education,569133,134.69,4225.5,75.23,84.0,60.91,52235.0,22.57,8.58,120,9,79.69,76.08,3856,852.3,26.9,24.89,1259.0,1770.0,42.44,29.53,67.28
2024,Azad Kashmir,Azad Kashmir,Neelum,District,Rural,Services,653972,101.95,6414.6,68.76,78.62,60.75,31313.0,27.76,12.25,311,10,63.85,76.64,4989,826.7,23.8,34.83,1484.0,1980.0,49.44,34.61,65.02
2015,Azad Kashmir,Azad Kashmir,Poonch,District,Semi-Urban,Healthcare,485182,74.09,6548.7,79.76,89.0,61.85,37448.0,20.58,11.38,114,8,73.51,87.05,6706,640.8,31.5,18.64,1160.0,2308.0,54.1,42.45,72.44
2016,Azad Kashmir,Azad Kashmir,Poonch,District,Urban,Mining,490202,125.34,3910.9,67.3,69.55,58.79,40285.0,25.27,13.25,121,6,69.34,73.65,2327,1440.3,19.5,30.1,1543.0,2252.0,49.79,37.45,64.5
2017,Azad Kashmir,Azad Kashmir,Poonch,District,Rural,Services,510625,88.68,5758.1,78.09,85.47,69.57,39162.0,13.92,6.82,129,10,70.96,67.12,5202,1495.9,19.6,2.45,1656.0,2657.0,27.49,31.8,69.86
2018,Azad Kashmir,Azad Kashmir,Poonch,District,Urban,Healthcare,515603,310.81,1658.9,70.77,77.2,60.21,49572.0,29.95,11.89,158,11,71.03,68.31,1039,1451.5,18.5,24.34,2450.0,2216.0,52.77,37.47,67.82
2019,Azad Kashmir,Azad Kashmir,Poonch,District,Urban,Services,551488,578.0,954.1,75.52,87.23,60.93,47725.0,22.11,5.31,195,5,82.2,80.68,495,591.7,21.0,19.08,1135.0,2510.0,12.28,28.17,69.0
2020,Azad Kashmir,Azad Kashmir,Poonch,District,Urban,Services,514275,250.42,2053.7,68.49,71.94,50.62,53397.0,27.7,11.65,194,5,66.57,61.17,2092,1400.5,18.0,20.28,1244.0,3453.0,15.85,49.18,64.91
2021,Azad Kashmir,Azad Kashmir,Poonch,District,Rural,Mining,525194,81.89,6413.2,71.75,78.23,65.8,40228.0,20.95,9.61,139,12,68.55,63.52,2553,921.0,19.6,13.02,1413.0,2728.0,26.29,34.18,64.13
2022,Azad Kashmir,Azad Kashmir,Poonch,District,Rural,Agriculture,524101,74.85,7002.4,74.29,81.19,59.0,57325.0,23.02,10.6,147,7,81.32,64.36,7767,979.0,23.6,29.92,1700.0,2060.0,50.94,39.68,66.05
2023,Azad Kashmir,Azad Kashmir,Poonch,District,Rural,Healthcare,538655,110.15,4890.2,72.55,75.69,55.65,52925.0,21.42,9.2,130,8,74.25,67.56,3893,1005.6,24.0,2.57,2433.0,2498.0,39.46,28.9,69.5
2024,Azad Kashmir,Azad Kashmir,Poonch,District,Rural,Agriculture,645339,96.24,6705.6,79.86,86.6,64.55,46163.0,16.12,9.07,201,7,76.56,74.13,2574,754.9,31.4,25.81,1057.0,2749.0,14.11,27.22,69.12
2015,Azad Kashmir,Azad Kashmir,Sudhnati,District,Urban,Services,1046916,222.19,4711.9,63.97,75.65,48.15,40629.0,28.83,9.09,350,22,62.87,67.68,1852,1250.3,30.2,13.03,1431.0,1470.0,37.02,38.39,62.03
2016,Azad Kashmir,Azad Kashmir,Sudhnati,District,Rural,Mining,1070005,342.31,3125.9,73.49,81.71,56.98,50014.0,26.9,11.76,291,22,70.32,66.99,1011,929.1,25.9,25.83,2394.0,3160.0,40.37,31.54,67.04
2017,Azad Kashmir,Azad Kashmir,Sudhnati,District,Rural,Education,1082145,187.54,5770.2,80.42,88.75,73.29,30007.0,21.95,6.88,369,17,72.47,85.75,4485,1066.3,23.6,16.31,939.0,1445.0,11.38,27.37,66.36
2018,Azad Kashmir,Azad Kashmir,Sudhnati,District,Urban,Mining,1091295,372.09,2932.9,63.63,70.06,57.41,35266.0,31.95,10.69,226,14,70.52,57.2,2046,1254.4,18.7,25.57,994.0,2123.0,29.08,40.01,63.61
2019,Azad Kashmir,Azad Kashmir,Sudhnati,District,Rural,Manufacturing,1101753,419.82,2624.3,70.35,75.36,65.23,40371.0,22.88,8.78,273,15,73.32,60.7,2592,895.3,26.4,14.95,1158.0,1405.0,19.51,38.03,64.44
2020,Azad Kashmir,Azad Kashmir,Sudhnati,District,Rural,Agriculture,1169740,796.34,1468.9,75.95,82.31,59.82,41609.0,21.68,9.88,325,21,76.74,77.92,1580,854.2,23.6,21.81,1551.0,2203.0,30.69,30.81,66.72
2021,Azad Kashmir,Azad Kashmir,Sudhnati,District,Urban,Mining,1233687,904.6,1363.8,74.9,85.34,68.57,42386.0,25.56,6.17,598,20,79.43,76.02,900,1332.0,30.9,24.39,948.0,2748.0,20.95,31.75,68.61
2022,Azad Kashmir,Azad Kashmir,Sudhnati,District,Rural,Agriculture,1275765,201.12,6343.4,76.2,84.65,56.83,36325.0,10.94,8.46,572,16,76.54,68.65,2739,1276.2,22.9,17.07,941.0,1965.0,16.65,26.66,69.46
2023,Azad Kashmir,Azad Kashmir,Sudhnati,District,Urban,Healthcare,1315991,719.67,1828.6,74.87,83.22,61.4,54126.0,17.72,8.21,304,18,78.7,78.84,2146,948.9,30.9,20.43,1596.0,2576.0,38.1,30.78,66.69
2024,Azad Kashmir,Azad Kashmir,Sudhnati,District,Rural,Agriculture,1270312,196.26,6472.5,72.59,81.04,63.28,54793.0,26.75,11.95,336,20,66.44,70.94,5524,537.6,23.2,27.14,1929.0,2658.0,53.98,32.83,71.64
2015,Balochistan,Kalat,Awaran,District,Rural,Education,599044,41.05,14592.5,47.89,58.88,41.33,42134.0,35.25,12.95,135,7,47.92,50.22,5485,117.2,18.9,26.01,1659.0,1330.0,37.17,51.7,59.05
2016,Balochistan,Kalat,Awaran,District,Semi-Urban,Services,615631,36.92,16673.9,44.8,53.11,39.02,45906.0,38.05,11.33,160,9,54.09,45.83,6420,229.4,27.5,36.79,1852.0,1899.0,36.73,51.53,57.8
2017,Balochistan,Kalat,Awaran,District,Rural,Agriculture,633175,23.13,27377.6,47.25,53.17,31.77,38201.0,44.68,14.02,137,10,51.27,42.99,15841,153.0,31.5,28.49,1196.0,2356.0,49.75,57.66,58.36
2018,Balochistan,Kalat,Awaran,District,Semi-Urban,Healthcare,655220,25.99,25210.9,42.82,46.62,32.38,39726.0,29.67,14.82,155,8,46.43,49.32,18596,166.2,23.1,26.12,1065.0,1410.0,30.71,46.41,57.88
2019,Balochistan,Kalat,Awaran,District,Urban,Healthcare,628143,130.0,4831.9,50.75,56.51,43.78,45940.0,25.78,12.4,145,6,58.93,43.89,4462,150.6,28.7,35.87,1780.0,3037.0,28.11,42.16,62.51
2020,Balochistan,Kalat,Awaran,District,Urban,Healthcare,687838,56.38,12200.4,49.55,61.2,40.96,23555.0,40.22,13.98,165,7,53.75,57.16,5790,231.1,21.3,30.84,950.0,1244.0,59.22,47.83,60.67
2021,Balochistan,Kalat,Awaran,District,Urban,Agriculture,678658,28.53,23787.5,51.55,58.36,45.77,46446.0,30.8,11.99,193,10,48.83,47.81,22366,198.8,30.2,25.56,1648.0,1625.0,38.56,51.46,61.13
2022,Balochistan,Kalat,Awaran,District,Rural,Services,651648,44.69,14580.9,54.23,60.38,35.28,28661.0,31.1,10.72,184,7,50.19,64.31,7468,237.0,30.4,23.88,1428.0,1290.0,39.82,52.28,63.22
2023,Balochistan,Kalat,Awaran,District,Rural,Agriculture,652308,25.58,25496.9,50.27,59.32,43.19,54508.0,42.37,10.43,165,7,47.3,48.46,28436,239.4,27.7,19.94,1121.0,2105.0,42.43,40.95,63.07
2024,Balochistan,Kalat,Awaran,District,Semi-Urban,Construction,677314,35.56,19048.6,49.5,52.13,35.16,56457.0,45.82,11.64,207,7,48.12,44.51,15944,132.9,26.9,30.57,1157.0,2858.0,61.83,59.21,61.03
2015,Balochistan,Kalat,Disputed Area 1,District,Semi-Urban,Mining,358066,18.64,19214.7,41.05,48.12,28.16,30189.0,41.36,16.66,131,5,46.91,36.6,6116,265.4,18.9,44.34,1395.0,958.0,69.42,63.34,56.29
2016,Balochistan,Kalat,Disputed Area 1,District,Urban,Services,365109,15.93,22924.9,44.95,48.28,28.6,29619.0,40.65,17.58,118,8,44.07,51.35,23662,108.7,26.1,36.21,748.0,1812.0,37.61,50.09,58.22
2017,Balochistan,Kalat,Disputed Area 1,District,Rural,Mining,373712,18.98,19688.6,40.74,43.16,32.75,39255.0,33.01,14.57,84,8,48.31,43.78,12963,142.8,18.6,34.29,1745.0,1921.0,66.67,49.11,54.63
2018,Balochistan,Kalat,Disputed Area 1,District,Rural,Services,369919,36.95,10011.1,38.69,45.08,27.69,39077.0,39.61,10.88,80,8,44.65,38.35,11776,233.9,24.1,33.33,1363.0,1950.0,67.82,56.76,53.97
2019,Balochistan,Kalat,Disputed Area 1,District,Urban,Mining,407892,16.69,24432.1,45.45,54.05,39.24,36572.0,40.06,16.15,97,9,49.94,55.08,23110,188.2,22.5,40.83,914.0,1747.0,35.32,51.39,56.42
2020,Balochistan,Kalat,Disputed Area 1,District,Semi-Urban,Manufacturing,397622,14.45,27525.0,47.0,54.13,35.91,43828.0,37.13,10.94,103,6,51.9,55.78,31860,100.3,27.4,32.39,1064.0,2380.0,57.49,47.89,60.45
2021,Balochistan,Kalat,Disputed Area 1,District,Rural,Mining,426387,109.82,3882.5,44.53,50.25,25.3,23990.0,35.55,12.48,98,6,45.82,49.2,1645,198.9,27.5,27.84,744.0,1021.0,58.15,49.72,58.57
2022,Balochistan,Kalat,Disputed Area 1,District,Urban,Construction,402820,147.79,2725.6,54.74,62.86,46.52,53855.0,21.99,7.37,157,5,62.97,48.89,1308,229.5,27.9,18.18,1296.0,1775.0,54.7,41.27,61.83
2023,Balochistan,Kalat,Disputed Area 1,District,Urban,Education,401190,13.41,29923.3,41.16,46.16,31.81,47456.0,36.31,10.66,90,4,51.84,48.34,33950,217.7,25.7,47.55,1857.0,2930.0,27.88,59.98,59.89
2024,Balochistan,Kalat,Disputed Area 1,District,Urban,Services,438298,57.46,7627.5,45.08,53.2,31.8,29105.0,34.55,12.69,181,5,40.96,49.4,5021,156.4,29.3,30.93,1208.0,1430.0,24.31,55.46,56.42
2015,Balochistan,Kalat,Disputed Area 2,District,Rural,Manufacturing,488327,88.64,5509.1,43.8,51.68,30.53,33917.0,36.6,14.04,165,10,46.41,47.58,3797,113.1,29.6,36.03,1605.0,1093.0,58.39,51.92,60.46
2016,Balochistan,Kalat,Disputed Area 2,District,Rural,Manufacturing,494726,74.84,6610.4,42.11,50.46,33.35,23811.0,35.19,9.45,166,5,43.09,54.61,5701,251.1,29.8,47.27,915.0,803.0,47.54,48.52,56.0
2017,Balochistan,Kalat,Disputed Area 2,District,Urban,Healthcare,514074,28.16,18258.1,38.02,40.83,20.06,36442.0,43.42,10.64,204,6,47.75,39.07,14955,256.3,18.6,48.83,1441.0,2211.0,67.43,46.78,59.8
2018,Balochistan,Kalat,Disputed Area 2,District,Urban,Construction,518848,32.54,15945.1,51.06,53.79,41.6,38855.0,34.35,11.22,133,9,60.3,53.06,10747,234.8,27.6,40.34,1318.0,1694.0,23.0,60.14,61.66
2019,Balochistan,Kalat,Disputed Area 2,District,Urban,Manufacturing,515421,47.11,10940.9,47.45,50.68,38.83,46432.0,35.54,12.29,103,8,48.69,55.55,4235,182.7,19.5,33.8,1333.0,2106.0,42.48,48.83,57.68
2020,Balochistan,Kalat,Disputed Area 2,District,Urban,Agriculture,553534,21.1,26228.6,38.85,45.84,26.13,29626.0,42.78,17.13,223,9,43.63,39.28,9994,227.4,25.0,40.2,942.0,1431.0,35.43,54.34,57.71
2021,Balochistan,Kalat,Disputed Area 2,District,Rural,Services,537179,159.76,3362.4,48.68,52.02,42.07,40757.0,39.59,15.46,188,7,56.45,54.83,3320,141.4,18.1,38.64,1263.0,1876.0,33.22,41.59,57.04
2022,Balochistan,Kalat,Disputed Area 2,District,Rural,Healthcare,577528,33.02,17490.2,46.06,57.81,39.28,29742.0,37.76,9.53,260,8,52.92,44.75,20780,268.0,27.5,36.22,1093.0,1327.0,39.7,44.74,57.22
2023,Balochistan,Kalat,Disputed Area 2,District,Rural,Services,544084,41.1,13238.8,43.32,46.72,24.92,43859.0,42.55,10.77,256,12,49.69,52.9,5907,183.5,20.1,53.73,2181.0,2613.0,66.57,56.47,58.37
2024,Balochistan,Kalat,Disputed Area 2,District,Rural,Education,570751,22.66,25192.1,51.64,59.47,31.94,36287.0,28.1,11.83,158,6,50.97,60.21,27330,156.3,27.4,24.07,1411.0,1955.0,59.84,40.57,62.47
